message_id,sender_address,message_body,timestamp_received,reported_scam_category
MSG_0001,BZ-BANK565,Welcome to Phonepe! Your registration code is valid for 10 minutes.,2026-05-24 15:49:00,None
MSG_0002,BZ-BANK602,URGENT: Your Groww account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-groww-portal.xyz/update,2026-05-20 13:04:00,Phishing Scam
MSG_0003,BZ-TRANS909,Welcome to Googlepay! Your registration code is valid for 10 minutes.,2026-05-03 05:59:00,None
MSG_0004,BZ-TRANS432,URGENT: Your Upstox account is SUSPENDED. Re-verify your OTP details here: http://secure-upstox-portal.xyz/update,2026-05-24 08:36:00,Phishing Scam
MSG_0005,BZ-ALERT350,Thank you for using Fyers gateway. Rate your transaction experience.,2026-05-21 21:37:00,None
MSG_0006,BZ-ALERT950,URGENT: Your Phonepe account is BLOCKED. Re-verify your ACCESS details here: http://secure-phonepe-portal.xyz/update,2026-05-04 12:52:00,Phishing Scam
MSG_0007,BZ-PROMO788,Welcome to Zerodha! Your registration code is valid for 10 minutes.,2026-05-14 00:30:00,None
MSG_0008,BZ-TRANS473,URGENT: Your Razorpay account is SUSPENDED. Re-verify your OTP details here: http://secure-razorpay-portal.xyz/update,2026-05-30 16:10:00,Phishing Scam
MSG_0009,BZ-ALERT146,Your transaction of Rs. 2028 at Phonepe Digital was successful.,2026-05-16 22:35:00,None
MSG_0010,BZ-BANK540,URGENT: Your Razorpay account is SUSPENDED. Re-verify your ACCESS details here: http://secure-razorpay-portal.xyz/update,2026-05-16 13:33:00,Phishing Scam
MSG_0011,BZ-PROMO761,Thank you for using Razorpay gateway. Rate your transaction experience.,2026-05-06 06:53:00,None
MSG_0012,BZ-PROMO764,URGENT: Your Bhim account is SUSPENDED. Re-verify your ACCESS details here: http://secure-bhim-portal.xyz/update,2026-05-12 12:26:00,Phishing Scam
MSG_0013,BZ-PROMO860,Your transaction of Rs. 2666 at Googlepay Digital was successful.,2026-05-27 11:14:00,None
MSG_0014,BZ-TRANS105,URGENT: Your Angelone account is DEACTIVATED. Re-verify your OTP details here: http://secure-angelone-portal.xyz/update,2026-05-28 23:21:00,Phishing Scam
MSG_0015,BZ-BANK642,"Dear customer, your monthly e-statement for your Upstox portfolio is ready.",2026-05-01 11:15:00,None
MSG_0016,BZ-BANK932,URGENT: Your Googlepay account is DEACTIVATED. Re-verify your KYC details here: http://secure-googlepay-portal.xyz/update,2026-05-05 17:25:00,Phishing Scam
MSG_0017,BZ-PROMO284,Thank you for using Razorpay gateway. Rate your transaction experience.,2026-05-04 19:24:00,None
MSG_0018,BZ-ALERT843,URGENT: Your Paytmmoney account is BLOCKED. Re-verify your PIN details here: http://secure-paytmmoney-portal.xyz/update,2026-05-10 23:41:00,Phishing Scam
MSG_0019,BZ-ALERT985,Your transaction of Rs. 3205 at Razorpay Digital was successful.,2026-05-10 22:30:00,None
MSG_0020,BZ-BANK463,URGENT: Your Bhim account is SUSPENDED. Re-verify your OTP details here: http://secure-bhim-portal.xyz/update,2026-05-13 12:50:00,Phishing Scam
MSG_0021,BZ-BANK851,Your transaction of Rs. 2506 at Razorpay Digital was successful.,2026-05-03 04:32:00,None
MSG_0022,BZ-PROMO615,URGENT: Your Phonepe account is SUSPENDED. Re-verify your KYC details here: http://secure-phonepe-portal.xyz/update,2026-05-05 05:07:00,Phishing Scam
MSG_0023,BZ-BANK207,Your transaction of Rs. 4418 at Fyers Digital was successful.,2026-05-20 03:34:00,None
MSG_0024,BZ-PROMO923,URGENT: Your Fyers account is DEACTIVATED. Re-verify your OTP details here: http://secure-fyers-portal.xyz/update,2026-05-11 00:59:00,Phishing Scam
MSG_0025,BZ-TRANS491,Welcome to Razorpay! Your registration code is valid for 10 minutes.,2026-05-31 00:58:00,None
MSG_0026,BZ-BANK615,URGENT: Your Phonepe account is BLOCKED. Re-verify your ACCESS details here: http://secure-phonepe-portal.xyz/update,2026-05-17 22:05:00,Phishing Scam
MSG_0027,BZ-ALERT285,Welcome to Fyers! Your registration code is valid for 10 minutes.,2026-05-19 20:48:00,None
MSG_0028,BZ-BANK589,URGENT: Your Fyers account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-fyers-portal.xyz/update,2026-05-03 21:27:00,Phishing Scam
MSG_0029,BZ-PROMO852,Thank you for using Googlepay gateway. Rate your transaction experience.,2026-05-26 09:05:00,None
MSG_0030,BZ-BANK833,URGENT: Your Icicidirect account is BLOCKED. Re-verify your KYC details here: http://secure-icicidirect-portal.xyz/update,2026-05-20 04:12:00,Phishing Scam
MSG_0031,BZ-TRANS221,Welcome to Angelone! Your registration code is valid for 10 minutes.,2026-05-20 17:53:00,None
MSG_0032,BZ-PROMO136,URGENT: Your Zerodha account is SUSPENDED. Re-verify your KYC details here: http://secure-zerodha-portal.xyz/update,2026-05-07 08:53:00,Phishing Scam
MSG_0033,BZ-BANK968,Your transaction of Rs. 1822 at Fyers Digital was successful.,2026-05-05 11:53:00,None
MSG_0034,BZ-PROMO900,URGENT: Your Fyers account is SUSPENDED. Re-verify your PIN details here: http://secure-fyers-portal.xyz/update,2026-05-12 21:25:00,Phishing Scam
MSG_0035,BZ-PROMO305,Your transaction of Rs. 3247 at Fyers Digital was successful.,2026-05-04 15:49:00,None
MSG_0036,BZ-PROMO715,URGENT: Your Groww account is SUSPENDED. Re-verify your ACCESS details here: http://secure-groww-portal.xyz/update,2026-05-18 18:20:00,Phishing Scam
MSG_0037,BZ-TRANS229,Welcome to Paytm! Your registration code is valid for 10 minutes.,2026-05-19 07:03:00,None
MSG_0038,BZ-BANK448,URGENT: Your Paytmmoney account is SUSPENDED. Re-verify your OTP details here: http://secure-paytmmoney-portal.xyz/update,2026-05-30 20:10:00,Phishing Scam
MSG_0039,BZ-TRANS153,Your transaction of Rs. 4924 at Paytm Digital was successful.,2026-05-25 16:55:00,None
MSG_0040,BZ-PROMO175,URGENT: Your Groww account is SUSPENDED. Re-verify your PIN details here: http://secure-groww-portal.xyz/update,2026-05-11 09:43:00,Phishing Scam
MSG_0041,BZ-BANK319,Thank you for using Angelone gateway. Rate your transaction experience.,2026-05-02 08:40:00,None
MSG_0042,BZ-TRANS978,URGENT: Your Zerodha account is BLOCKED. Re-verify your KYC details here: http://secure-zerodha-portal.xyz/update,2026-05-19 05:17:00,Phishing Scam
MSG_0043,BZ-PROMO353,Welcome to Razorpay! Your registration code is valid for 10 minutes.,2026-05-07 07:32:00,None
MSG_0044,BZ-BANK364,URGENT: Your Paytmmoney account is DEACTIVATED. Re-verify your OTP details here: http://secure-paytmmoney-portal.xyz/update,2026-05-13 11:27:00,Phishing Scam
MSG_0045,BZ-ALERT386,"Dear customer, your monthly e-statement for your Paytm portfolio is ready.",2026-05-07 11:36:00,None
MSG_0046,BZ-TRANS968,URGENT: Your Paytmmoney account is BLOCKED. Re-verify your PIN details here: http://secure-paytmmoney-portal.xyz/update,2026-05-10 05:28:00,Phishing Scam
MSG_0047,BZ-PROMO429,Your transaction of Rs. 4378 at Icicidirect Digital was successful.,2026-05-25 14:40:00,None
MSG_0048,BZ-ALERT527,URGENT: Your Phonepe account is DEACTIVATED. Re-verify your KYC details here: http://secure-phonepe-portal.xyz/update,2026-05-09 10:30:00,Phishing Scam
MSG_0049,BZ-ALERT221,"Dear customer, your monthly e-statement for your Upstox portfolio is ready.",2026-05-21 13:58:00,None
MSG_0050,BZ-PROMO463,URGENT: Your Fyers account is BLOCKED. Re-verify your PIN details here: http://secure-fyers-portal.xyz/update,2026-05-29 16:47:00,Phishing Scam
MSG_0051,BZ-PROMO715,Thank you for using Googlepay gateway. Rate your transaction experience.,2026-05-13 22:09:00,None
MSG_0052,BZ-ALERT523,URGENT: Your Fyers account is DEACTIVATED. Re-verify your PIN details here: http://secure-fyers-portal.xyz/update,2026-05-11 10:09:00,Phishing Scam
MSG_0053,BZ-ALERT577,Welcome to Fyers! Your registration code is valid for 10 minutes.,2026-05-12 16:17:00,None
MSG_0054,BZ-TRANS234,URGENT: Your Zerodha account is SUSPENDED. Re-verify your KYC details here: http://secure-zerodha-portal.xyz/update,2026-05-11 22:02:00,Phishing Scam
MSG_0055,BZ-TRANS766,Thank you for using Paytm gateway. Rate your transaction experience.,2026-05-17 13:57:00,None
MSG_0056,BZ-TRANS296,URGENT: Your Icicidirect account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-icicidirect-portal.xyz/update,2026-05-17 15:26:00,Phishing Scam
MSG_0057,BZ-TRANS545,Welcome to Bhim! Your registration code is valid for 10 minutes.,2026-05-01 14:40:00,None
MSG_0058,BZ-TRANS265,URGENT: Your Angelone account is SUSPENDED. Re-verify your ACCESS details here: http://secure-angelone-portal.xyz/update,2026-05-04 08:47:00,Phishing Scam
MSG_0059,BZ-BANK239,Thank you for using Phonepe gateway. Rate your transaction experience.,2026-05-21 19:10:00,None
MSG_0060,BZ-BANK631,URGENT: Your Fyers account is DEACTIVATED. Re-verify your KYC details here: http://secure-fyers-portal.xyz/update,2026-05-06 19:43:00,Phishing Scam
MSG_0061,BZ-BANK447,Thank you for using Zerodha gateway. Rate your transaction experience.,2026-05-26 11:01:00,None
MSG_0062,BZ-TRANS329,URGENT: Your Paytmmoney account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-paytmmoney-portal.xyz/update,2026-05-20 14:34:00,Phishing Scam
MSG_0063,BZ-PROMO409,Thank you for using Icicidirect gateway. Rate your transaction experience.,2026-05-03 04:06:00,None
MSG_0064,BZ-ALERT919,URGENT: Your Fyers account is SUSPENDED. Re-verify your KYC details here: http://secure-fyers-portal.xyz/update,2026-05-14 04:09:00,Phishing Scam
MSG_0065,BZ-TRANS756,Thank you for using Icicidirect gateway. Rate your transaction experience.,2026-05-21 09:27:00,None
MSG_0066,BZ-TRANS226,URGENT: Your Angelone account is SUSPENDED. Re-verify your ACCESS details here: http://secure-angelone-portal.xyz/update,2026-05-08 01:49:00,Phishing Scam
MSG_0067,BZ-TRANS726,Your transaction of Rs. 2003 at Groww Digital was successful.,2026-05-25 09:10:00,None
MSG_0068,BZ-ALERT896,URGENT: Your Zerodha account is BLOCKED. Re-verify your OTP details here: http://secure-zerodha-portal.xyz/update,2026-05-19 15:09:00,Phishing Scam
MSG_0069,BZ-TRANS661,Your transaction of Rs. 3795 at Upstox Digital was successful.,2026-05-08 12:28:00,None
MSG_0070,BZ-PROMO732,URGENT: Your Razorpay account is SUSPENDED. Re-verify your ACCESS details here: http://secure-razorpay-portal.xyz/update,2026-05-06 11:15:00,Phishing Scam
MSG_0071,BZ-BANK482,Welcome to Upstox! Your registration code is valid for 10 minutes.,2026-05-17 07:34:00,None
MSG_0072,BZ-ALERT140,URGENT: Your Icicidirect account is SUSPENDED. Re-verify your PIN details here: http://secure-icicidirect-portal.xyz/update,2026-05-04 05:09:00,Phishing Scam
MSG_0073,BZ-BANK684,"Dear customer, your monthly e-statement for your Bhim portfolio is ready.",2026-05-10 14:50:00,None
MSG_0074,BZ-PROMO712,URGENT: Your Upstox account is DEACTIVATED. Re-verify your PIN details here: http://secure-upstox-portal.xyz/update,2026-05-24 12:55:00,Phishing Scam
MSG_0075,BZ-BANK929,Thank you for using Bhim gateway. Rate your transaction experience.,2026-05-04 00:41:00,None
MSG_0076,BZ-TRANS616,URGENT: Your Phonepe account is DEACTIVATED. Re-verify your KYC details here: http://secure-phonepe-portal.xyz/update,2026-05-26 18:30:00,Phishing Scam
MSG_0077,BZ-BANK615,Thank you for using Googlepay gateway. Rate your transaction experience.,2026-05-21 17:22:00,None
MSG_0078,BZ-ALERT758,URGENT: Your Razorpay account is BLOCKED. Re-verify your PIN details here: http://secure-razorpay-portal.xyz/update,2026-05-17 00:34:00,Phishing Scam
MSG_0079,BZ-PROMO473,Thank you for using Hdfcsec gateway. Rate your transaction experience.,2026-05-10 13:20:00,None
MSG_0080,BZ-ALERT353,URGENT: Your Googlepay account is SUSPENDED. Re-verify your OTP details here: http://secure-googlepay-portal.xyz/update,2026-05-26 23:44:00,Phishing Scam
MSG_0081,BZ-BANK165,"Dear customer, your monthly e-statement for your Googlepay portfolio is ready.",2026-05-11 17:15:00,None
MSG_0082,BZ-TRANS238,URGENT: Your Hdfcsec account is DEACTIVATED. Re-verify your KYC details here: http://secure-hdfcsec-portal.xyz/update,2026-05-10 19:54:00,Phishing Scam
MSG_0083,BZ-PROMO405,Your transaction of Rs. 3273 at Razorpay Digital was successful.,2026-05-28 16:34:00,None
MSG_0084,BZ-TRANS658,URGENT: Your Icicidirect account is SUSPENDED. Re-verify your ACCESS details here: http://secure-icicidirect-portal.xyz/update,2026-05-15 07:34:00,Phishing Scam
MSG_0085,BZ-PROMO837,Your transaction of Rs. 4032 at Paytmmoney Digital was successful.,2026-05-27 23:45:00,None
MSG_0086,BZ-BANK291,URGENT: Your Googlepay account is BLOCKED. Re-verify your ACCESS details here: http://secure-googlepay-portal.xyz/update,2026-05-25 19:50:00,Phishing Scam
MSG_0087,BZ-PROMO925,Welcome to Razorpay! Your registration code is valid for 10 minutes.,2026-05-19 22:00:00,None
MSG_0088,BZ-BANK634,URGENT: Your Fyers account is DEACTIVATED. Re-verify your PIN details here: http://secure-fyers-portal.xyz/update,2026-05-14 06:11:00,Phishing Scam
MSG_0089,BZ-BANK408,"Dear customer, your monthly e-statement for your Bhim portfolio is ready.",2026-05-11 15:18:00,None
MSG_0090,BZ-BANK407,URGENT: Your Razorpay account is DEACTIVATED. Re-verify your KYC details here: http://secure-razorpay-portal.xyz/update,2026-05-03 19:44:00,Phishing Scam
MSG_0091,BZ-BANK621,Welcome to Upstox! Your registration code is valid for 10 minutes.,2026-05-23 01:47:00,None
MSG_0092,BZ-BANK219,URGENT: Your Icicidirect account is BLOCKED. Re-verify your KYC details here: http://secure-icicidirect-portal.xyz/update,2026-05-01 08:36:00,Phishing Scam
MSG_0093,BZ-BANK214,Thank you for using Googlepay gateway. Rate your transaction experience.,2026-05-26 06:43:00,None
MSG_0094,BZ-BANK982,URGENT: Your Angelone account is BLOCKED. Re-verify your PIN details here: http://secure-angelone-portal.xyz/update,2026-05-28 19:02:00,Phishing Scam
MSG_0095,BZ-TRANS721,Your transaction of Rs. 2724 at Upstox Digital was successful.,2026-05-29 01:23:00,None
MSG_0096,BZ-BANK968,URGENT: Your Icicidirect account is BLOCKED. Re-verify your PIN details here: http://secure-icicidirect-portal.xyz/update,2026-05-19 14:17:00,Phishing Scam
MSG_0097,BZ-BANK971,Welcome to Angelone! Your registration code is valid for 10 minutes.,2026-05-11 13:19:00,None
MSG_0098,BZ-ALERT489,URGENT: Your Zerodha account is DEACTIVATED. Re-verify your PIN details here: http://secure-zerodha-portal.xyz/update,2026-05-18 09:01:00,Phishing Scam
MSG_0099,BZ-PROMO440,Thank you for using Hdfcsec gateway. Rate your transaction experience.,2026-05-07 07:59:00,None
MSG_0100,BZ-ALERT638,URGENT: Your Upstox account is BLOCKED. Re-verify your PIN details here: http://secure-upstox-portal.xyz/update,2026-05-07 05:04:00,Phishing Scam
MSG_0101,BZ-BANK869,"Dear customer, your monthly e-statement for your Upstox portfolio is ready.",2026-05-22 23:57:00,None
MSG_0102,BZ-PROMO247,URGENT: Your Paytm account is DEACTIVATED. Re-verify your OTP details here: http://secure-paytm-portal.xyz/update,2026-05-11 07:34:00,Phishing Scam
MSG_0103,BZ-ALERT578,"Dear customer, your monthly e-statement for your Angelone portfolio is ready.",2026-05-29 20:53:00,None
MSG_0104,BZ-BANK416,URGENT: Your Hdfcsec account is BLOCKED. Re-verify your KYC details here: http://secure-hdfcsec-portal.xyz/update,2026-05-17 04:26:00,Phishing Scam
MSG_0105,BZ-ALERT832,Welcome to Icicidirect! Your registration code is valid for 10 minutes.,2026-05-21 19:34:00,None
MSG_0106,BZ-TRANS634,URGENT: Your Phonepe account is SUSPENDED. Re-verify your OTP details here: http://secure-phonepe-portal.xyz/update,2026-05-20 15:59:00,Phishing Scam
MSG_0107,BZ-PROMO156,Thank you for using Paytmmoney gateway. Rate your transaction experience.,2026-05-12 21:31:00,None
MSG_0108,BZ-PROMO803,URGENT: Your Razorpay account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-razorpay-portal.xyz/update,2026-05-24 18:47:00,Phishing Scam
MSG_0109,BZ-ALERT472,Thank you for using Phonepe gateway. Rate your transaction experience.,2026-05-25 09:29:00,None
MSG_0110,BZ-BANK131,URGENT: Your Fyers account is SUSPENDED. Re-verify your KYC details here: http://secure-fyers-portal.xyz/update,2026-05-17 02:32:00,Phishing Scam
MSG_0111,BZ-TRANS493,Thank you for using Googlepay gateway. Rate your transaction experience.,2026-05-23 09:45:00,None
MSG_0112,BZ-ALERT960,URGENT: Your Groww account is SUSPENDED. Re-verify your KYC details here: http://secure-groww-portal.xyz/update,2026-05-12 12:32:00,Phishing Scam
MSG_0113,BZ-TRANS829,Your transaction of Rs. 3999 at Hdfcsec Digital was successful.,2026-05-20 12:36:00,None
MSG_0114,BZ-TRANS333,URGENT: Your Googlepay account is SUSPENDED. Re-verify your ACCESS details here: http://secure-googlepay-portal.xyz/update,2026-05-28 22:00:00,Phishing Scam
MSG_0115,BZ-BANK226,Your transaction of Rs. 2352 at Zerodha Digital was successful.,2026-05-07 18:35:00,None
MSG_0116,BZ-TRANS401,URGENT: Your Paytm account is SUSPENDED. Re-verify your PIN details here: http://secure-paytm-portal.xyz/update,2026-05-25 06:02:00,Phishing Scam
MSG_0117,BZ-ALERT968,Welcome to Bhim! Your registration code is valid for 10 minutes.,2026-05-20 00:18:00,None
MSG_0118,BZ-PROMO650,URGENT: Your Phonepe account is BLOCKED. Re-verify your KYC details here: http://secure-phonepe-portal.xyz/update,2026-05-27 18:57:00,Phishing Scam
MSG_0119,BZ-ALERT750,Thank you for using Paytmmoney gateway. Rate your transaction experience.,2026-05-26 17:27:00,None
MSG_0120,BZ-TRANS487,URGENT: Your Angelone account is BLOCKED. Re-verify your PIN details here: http://secure-angelone-portal.xyz/update,2026-05-08 23:09:00,Phishing Scam
MSG_0121,BZ-ALERT305,Welcome to Zerodha! Your registration code is valid for 10 minutes.,2026-05-31 01:00:00,None
MSG_0122,BZ-ALERT176,URGENT: Your Groww account is DEACTIVATED. Re-verify your KYC details here: http://secure-groww-portal.xyz/update,2026-05-26 14:43:00,Phishing Scam
MSG_0123,BZ-PROMO231,Thank you for using Zerodha gateway. Rate your transaction experience.,2026-05-23 17:13:00,None
MSG_0124,BZ-TRANS438,URGENT: Your Phonepe account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-phonepe-portal.xyz/update,2026-05-18 12:44:00,Phishing Scam
MSG_0125,BZ-ALERT160,"Dear customer, your monthly e-statement for your Hdfcsec portfolio is ready.",2026-05-15 01:35:00,None
MSG_0126,BZ-BANK821,URGENT: Your Paytmmoney account is SUSPENDED. Re-verify your PIN details here: http://secure-paytmmoney-portal.xyz/update,2026-05-07 02:48:00,Phishing Scam
MSG_0127,BZ-PROMO728,Welcome to Googlepay! Your registration code is valid for 10 minutes.,2026-05-07 02:22:00,None
MSG_0128,BZ-TRANS586,URGENT: Your Fyers account is SUSPENDED. Re-verify your ACCESS details here: http://secure-fyers-portal.xyz/update,2026-05-12 17:37:00,Phishing Scam
MSG_0129,BZ-BANK917,"Dear customer, your monthly e-statement for your Paytm portfolio is ready.",2026-05-26 16:03:00,None
MSG_0130,BZ-BANK205,URGENT: Your Fyers account is BLOCKED. Re-verify your PIN details here: http://secure-fyers-portal.xyz/update,2026-05-19 08:12:00,Phishing Scam
MSG_0131,BZ-TRANS343,"Dear customer, your monthly e-statement for your Paytmmoney portfolio is ready.",2026-05-01 03:13:00,None
MSG_0132,BZ-ALERT294,URGENT: Your Googlepay account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-googlepay-portal.xyz/update,2026-05-18 11:48:00,Phishing Scam
MSG_0133,BZ-PROMO261,Your transaction of Rs. 716 at Angelone Digital was successful.,2026-05-07 21:41:00,None
MSG_0134,BZ-PROMO391,URGENT: Your Angelone account is SUSPENDED. Re-verify your ACCESS details here: http://secure-angelone-portal.xyz/update,2026-05-26 21:27:00,Phishing Scam
MSG_0135,BZ-PROMO899,Thank you for using Paytmmoney gateway. Rate your transaction experience.,2026-05-29 10:17:00,None
MSG_0136,BZ-TRANS783,URGENT: Your Bhim account is DEACTIVATED. Re-verify your PIN details here: http://secure-bhim-portal.xyz/update,2026-05-14 07:48:00,Phishing Scam
MSG_0137,BZ-PROMO240,Thank you for using Razorpay gateway. Rate your transaction experience.,2026-05-26 10:52:00,None
MSG_0138,BZ-PROMO125,URGENT: Your Paytmmoney account is BLOCKED. Re-verify your OTP details here: http://secure-paytmmoney-portal.xyz/update,2026-05-09 15:55:00,Phishing Scam
MSG_0139,BZ-PROMO599,"Dear customer, your monthly e-statement for your Phonepe portfolio is ready.",2026-05-28 07:53:00,None
MSG_0140,BZ-ALERT402,URGENT: Your Bhim account is DEACTIVATED. Re-verify your PIN details here: http://secure-bhim-portal.xyz/update,2026-05-16 02:26:00,Phishing Scam
MSG_0141,BZ-BANK708,Welcome to Paytm! Your registration code is valid for 10 minutes.,2026-05-02 13:54:00,None
MSG_0142,BZ-TRANS787,URGENT: Your Icicidirect account is BLOCKED. Re-verify your ACCESS details here: http://secure-icicidirect-portal.xyz/update,2026-05-25 11:27:00,Phishing Scam
MSG_0143,BZ-ALERT372,"Dear customer, your monthly e-statement for your Googlepay portfolio is ready.",2026-05-20 19:50:00,None
MSG_0144,BZ-ALERT302,URGENT: Your Groww account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-groww-portal.xyz/update,2026-05-19 09:30:00,Phishing Scam
MSG_0145,BZ-TRANS582,Your transaction of Rs. 4597 at Razorpay Digital was successful.,2026-05-20 18:20:00,None
MSG_0146,BZ-PROMO437,URGENT: Your Groww account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-groww-portal.xyz/update,2026-05-11 06:39:00,Phishing Scam
MSG_0147,BZ-TRANS890,Your transaction of Rs. 691 at Googlepay Digital was successful.,2026-05-08 14:17:00,None
MSG_0148,BZ-TRANS367,URGENT: Your Googlepay account is SUSPENDED. Re-verify your OTP details here: http://secure-googlepay-portal.xyz/update,2026-05-14 01:37:00,Phishing Scam
MSG_0149,BZ-BANK392,Your transaction of Rs. 4523 at Angelone Digital was successful.,2026-05-01 16:24:00,None
MSG_0150,BZ-BANK732,URGENT: Your Fyers account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-fyers-portal.xyz/update,2026-05-07 11:16:00,Phishing Scam
MSG_0151,BZ-PROMO980,Thank you for using Fyers gateway. Rate your transaction experience.,2026-05-31 17:51:00,None
MSG_0152,BZ-TRANS268,URGENT: Your Googlepay account is BLOCKED. Re-verify your OTP details here: http://secure-googlepay-portal.xyz/update,2026-05-16 22:58:00,Phishing Scam
MSG_0153,BZ-TRANS203,Welcome to Paytmmoney! Your registration code is valid for 10 minutes.,2026-05-25 13:02:00,None
MSG_0154,BZ-ALERT129,URGENT: Your Paytm account is DEACTIVATED. Re-verify your KYC details here: http://secure-paytm-portal.xyz/update,2026-05-29 11:58:00,Phishing Scam
MSG_0155,BZ-ALERT127,Welcome to Zerodha! Your registration code is valid for 10 minutes.,2026-05-24 07:02:00,None
MSG_0156,BZ-PROMO970,URGENT: Your Upstox account is BLOCKED. Re-verify your OTP details here: http://secure-upstox-portal.xyz/update,2026-05-14 12:00:00,Phishing Scam
MSG_0157,BZ-TRANS874,Thank you for using Zerodha gateway. Rate your transaction experience.,2026-05-04 11:06:00,None
MSG_0158,BZ-PROMO127,URGENT: Your Googlepay account is SUSPENDED. Re-verify your ACCESS details here: http://secure-googlepay-portal.xyz/update,2026-05-11 12:02:00,Phishing Scam
MSG_0159,BZ-BANK914,"Dear customer, your monthly e-statement for your Zerodha portfolio is ready.",2026-05-15 19:21:00,None
MSG_0160,BZ-ALERT491,URGENT: Your Groww account is BLOCKED. Re-verify your PIN details here: http://secure-groww-portal.xyz/update,2026-05-22 14:10:00,Phishing Scam
MSG_0161,BZ-TRANS764,Thank you for using Groww gateway. Rate your transaction experience.,2026-05-03 02:59:00,None
MSG_0162,BZ-PROMO204,URGENT: Your Groww account is SUSPENDED. Re-verify your OTP details here: http://secure-groww-portal.xyz/update,2026-05-15 13:13:00,Phishing Scam
MSG_0163,BZ-ALERT685,"Dear customer, your monthly e-statement for your Phonepe portfolio is ready.",2026-05-04 00:11:00,None
MSG_0164,BZ-PROMO343,URGENT: Your Angelone account is DEACTIVATED. Re-verify your KYC details here: http://secure-angelone-portal.xyz/update,2026-05-20 22:26:00,Phishing Scam
MSG_0165,BZ-PROMO787,"Dear customer, your monthly e-statement for your Zerodha portfolio is ready.",2026-05-04 13:18:00,None
MSG_0166,BZ-TRANS628,URGENT: Your Phonepe account is BLOCKED. Re-verify your PIN details here: http://secure-phonepe-portal.xyz/update,2026-05-28 22:37:00,Phishing Scam
